date,open,high,low,close,adj close,volume,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,sentiment,count
16-02-21,266,273.899994,263.700012,273.299988,271.458679,3328570,0.072865318,0.10356388,0.127912648,0.07455978,0.073383367,0.070421337,0.09058894,0.071255123,0.088006896,0.085383749,0.071277029,0.070781933,-1,1
17-02-21,273.600006,275.200012,266,267.100006,265.300446,3031155,0.090615778,0.073302974,0.132053896,0.083446313,0.069019204,0.081819644,0.084054674,0.089848541,0.085328841,0.06948894,0.070664109,0.070357087,-0.25,4
18-02-21,264.600006,270.799988,259.5,259.5,257.751648,3082570,0.072813119,0.087777769,0.08344405,0.095586315,0.076889865,0.072572019,0.069889538,0.119791325,0.095572169,0.083644664,0.072092314,0.069926852,-0.25,12
19-02-21,259.600006,260,249.100006,254.899994,253.182648,3709750,0.071541337,0.08464024,0.080206752,0.091149236,0.083553561,0.102470973,0.070364997,0.073645635,0.097214495,0.093347658,0.073807047,0.078058069,0.777777778,9
22-02-21,253.699997,253.899994,246.100006,246.100006,244.44194,2754260,0.114077038,0.08081215,0.129245075,0.066212941,0.066435585,0.081518756,0.066113319,0.083070606,0.066095958,0.066373941,0.11400568,0.06603895,1,1
23-02-21,242.5,246.699997,228.899994,237.600006,235.999207,6154125,0.075843953,0.06056148,0.063431538,0.11983562,0.06107261,0.106337426,0.119573957,0.075608766,0.10526782,0.061234591,0.090329534,0.060902704,-1,2
24-02-21,236.199997,239.600006,225.5,226,224.477356,5455205,0.073309705,0.066258577,0.079587692,0.090908674,0.071162931,0.091900453,0.101112038,0.063885385,0.097820874,0.11465694,0.079430144,0.069966586,0.6,5
25-02-21,230,240.100006,230,236.699997,235.10527,4889940,0.080939804,0.062985271,0.076341853,0.096960657,0.071116414,0.09678557,0.071933539,0.119386728,0.084212865,0.091243879,0.074022934,0.074070487,2.166666667,6
26-02-21,235.399994,235.899994,227.199997,230.899994,229.344345,5015665,0.085251173,0.063112825,0.065329189,0.109699291,0.088660878,0.081609739,0.06546584,0.085690972,0.09421713,0.095724603,0.080389318,0.084849042,-2.2,5
01-03-21,234.600006,239.399994,232.199997,234.699997,233.118744,3037955,0.075072535,0.147578656,0.087167789,0.075260842,0.076039511,0.065992663,0.099204044,0.077459892,0.070277256,0.073393779,0.078233687,0.074319347,1,4
