date,open,high,low,close,adj close,volume,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,sentiment,count
02-03-21,13850,13900,13705,13730,13402.74121,19196,0.170360981,0.085758472,0.092552655,0.070031495,0.104768552,0.069159439,0.092556294,0.068899717,0.071248529,0.091588801,0.083075065,-3.75,0
03-03-21,13760,14015,13525,13600,13275.83984,26625,0.170360981,0.085758472,0.092552655,0.070031495,0.104768552,0.069159439,0.092556294,0.068899717,0.071248529,0.091588801,0.083075065,-3.75,0
04-03-21,13500,13740,13320,13405,13085.48731,22306,0.082912356,0.083014314,0.09278861,0.10514965,0.075509348,0.08350478,0.096196773,0.07800118,0.081872756,0.1142942,0.106756033,3,2
05-03-21,13405,13665,13305,13450,13129.41504,23808,0.073877006,0.078289026,0.099322435,0.084386783,0.103561918,0.087217579,0.078541926,0.080988251,0.114435277,0.108563506,0.090816293,-0.75,4
08-03-21,13450,13485,12795,13205,12890.25488,33763,0.073877006,0.078289026,0.099322435,0.084386783,0.103561918,0.087217579,0.078541926,0.080988251,0.114435277,0.108563506,0.090816293,-0.75,0
09-03-21,13250,13885,13215,13885,13554.04688,22644,0.078894329,0.093100167,0.082590269,0.089281652,0.098100856,0.07949696,0.089840601,0.082262269,0.100758228,0.111395575,0.094279094,0,1
10-03-21,13750,13930,13450,13920,13588.21289,28646,0.072261455,0.072341226,0.074181529,0.103628128,0.080720771,0.07337242,0.073906527,0.075032858,0.178943887,0.082016826,0.113594372,0,2
11-03-21,13920,14270,13895,14270,13929.87012,36465,0.072261455,0.072341226,0.074181529,0.103628128,0.080720771,0.07337242,0.073906527,0.075032858,0.178943887,0.082016826,0.113594372,0,0
12-03-21,14200,14215,13930,14100,13763.92188,22403,0.079562025,0.079702267,0.101063291,0.08490228,0.081339877,0.080302816,0.084025732,0.119317141,0.086798185,0.082204703,0.120781683,1,1
15-03-21,14185,14325,14045,14100,13763.92188,19358,0.097926835,0.088344296,0.087815323,0.090552458,0.089206981,0.080291786,0.095569531,0.108683252,0.08062042,0.089699863,0.091289254,0.833333333,6
16-03-21,14210,14435,14150,14250,13910.34668,27573,0.101372646,0.105228535,0.078855276,0.078332292,0.108785737,0.084729438,0.078653981,0.085909882,0.078595928,0.112378214,0.087158071,1,2
