date,open,high,low,close,adj close,volume,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,sentiment,count
29-01-21,430,432.450012,425.399994,425.399994,419.55069,3549516,0.109503097,0.12625507,0.110434997,0.111581276,0.119302523,0.098704113,0.096819291,0.117842777,0.109556854,0.166666667,6
01-02-21,432.049988,436.700012,429.450012,433.700012,427.736572,2007788,0.102537901,0.102626228,0.108424451,0.130800377,0.107258575,0.130823359,0.108087572,0.113854431,0.095587106,0.8,5
02-02-21,433.700012,441.299988,431.350006,438,431.977448,2343363,0.09621709,0.115881962,0.096210958,0.09600634,0.122896295,0.135415673,0.120453474,0.096114301,0.120803907,-0.5,2
03-02-21,447.399994,459.799988,444.950012,450,443.812439,4517871,0.10725062,0.1052442,0.117240841,0.095685924,0.139269425,0.111096163,0.117519611,0.100955784,0.105737431,0.347826087,23
04-02-21,450.75,454.850006,444.299988,444.649994,438.536011,2899791,0.112859868,0.113678692,0.114038459,0.104397178,0.134049985,0.101686318,0.105107339,0.103766623,0.110415537,0.545454545,11
05-02-21,444.700012,446.950012,438.100006,440.399994,434.344421,2125729,0.108271235,0.117191165,0.11170719,0.104413691,0.122659448,0.101178881,0.109331389,0.121352377,0.103894625,-0.125,8
08-02-21,443.200012,443.200012,437.200012,437.200012,431.188446,2318258,0.108271235,0.117191165,0.11170719,0.104413691,0.122659448,0.101178881,0.109331389,0.121352377,0.103894625,-0.125,0
09-02-21,437.200012,441.899994,436.25,438,431.977448,2269474,0.130646963,0.098656601,0.092747237,0.091844329,0.116692402,0.104094009,0.096910533,0.16356788,0.104840045,0,1
10-02-21,435.149994,440.299988,432.299988,433.799988,427.835175,1764619,0.115259859,0.121975649,0.124758891,0.120641649,0.105044867,0.104312673,0.107920719,0.089938642,0.11014705,1,1
11-02-21,439.25,451.399994,437,449.600006,443.417938,2854871,0.278659354,0.088183459,0.088183454,0.104056459,0.088183449,0.088183455,0.088183457,0.088183451,0.088183461,0,1
12-02-21,452.25,460,452,460,453.674927,2726808,0.136439205,0.096789527,0.110668443,0.101764896,0.131057559,0.09327172,0.114562764,0.112947774,0.102498113,0.9,10
